Country Name;2016 [YR2016]
Cyprus;9251.0
Czechia;78870.0
Denmark;42920.0
Djibouti;23200.0
Dominica;750.0
Dominican Republic;48670.0
Ecuador;256370.0
Egypt, Arab Rep.;1001450.0
El Salvador;21040.0
Equatorial Guinea;28050.0
Eritrea;121664.244
Estonia;45340.0
Ethiopia;1136242.7
Faroe Islands;1396.0
Fiji;18270.0
Finland;338450.0
France;549087.0
French Polynesia;3471.0
Gabon;267670.0
Gambia, The;11300.0
Georgia;69700.0
Germany;357580.0
Ghana;238540.0
Greece;131960.0
Greenland;410450.0
Grenada;340.0
Guam;540.0
Guatemala;108890.0
Guinea;245860.0
Guinea-Bissau;36130.0
Guyana;214970.0
Haiti;27750.0
Honduras;112490.0
Hong Kong SAR, China;1110.0
Hungary;93030.0
Iceland;103000.0
India;3287260.0
Indonesia;1913580.0
Iran, Islamic Rep.;1745150.0
Iraq;435052.0
Ireland;70280.0
Isle of Man;570.0
Israel;22070.0
Italy;302069.0
Jamaica;10990.0
Japan;377970.0
Jordan;89320.0
Kazakhstan;2724902.0
Kenya;580370.0
Kiribati;810.0
Korea, Dem. People's Rep.;120540.0
Korea, Rep.;100339.0
Kuwait;17820.0
Kyrgyz Republic;199950.0
Lao PDR;236800.0
Latvia;64594.0
Lebanon;10450.0
Lesotho;30360.0
Liberia;111370.0
Libya;1759540.0
Lithuania;65286.0
Luxembourg;2590.0
North Macedonia;25710.0
Madagascar;587295.0
Malawi;118480.0
Malaysia;330713.0
Maldives;300.0
Mali;1240190.0
Malta;320.0
Mauritania;1030700.0
Mauritius;2007.0
Mexico;1964375.0
Micronesia, Fed. Sts.;700.0
Moldova;33850.0
Mongolia;1564120.0
Montenegro;13810.0
Morocco;446550.0
Mozambique;799380.0
Myanmar;676590.0
Namibia;824290.0
Nepal;147180.0
Netherlands;41540.0
New Caledonia;18580.0
New Zealand;267710.0
Nicaragua;130370.0
Niger;1267000.0
Nigeria;923770.0
Northern Mariana Islands;460.0
Norway;625194.0
Oman;309500.0
