Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25698326
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51217803
"Population, total",SP.POP.TOTL,Kosovo,XKX,1777568
"Population, total",SP.POP.TOTL,Kuwait,KWT,4004096
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6175338
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6908802
"Population, total",SP.POP.TOTL,Latvia,LVA,1959537
"Population, total",SP.POP.TOTL,Lebanon,LBN,6323060
"Population, total",SP.POP.TOTL,Lesotho,LSO,2130422
"Population, total",SP.POP.TOTL,Liberia,LBR,4755608
"Population, total",SP.POP.TOTL,Libya,LBY,6632126
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37716
"Population, total",SP.POP.TOTL,Lithuania,LTU,2877325
"Population, total",SP.POP.TOTL,Luxembourg,LUX,582014
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,652500
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1906313
"Population, total",SP.POP.TOTL,Madagascar,MDG,26099952
"Population, total",SP.POP.TOTL,Malawi,MWI,17557739
"Population, total",SP.POP.TOTL,Malaysia,MYS,31789685
"Population, total",SP.POP.TOTL,Maldives,MDV,443308
"Population, total",SP.POP.TOTL,Mali,MLI,19191289
"Population, total",SP.POP.TOTL,Malta,MLT,454505
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47709
"Population, total",SP.POP.TOTL,Mauritania,MRT,4086657
"Population, total",SP.POP.TOTL,Mauritius,MUS,1263747
"Population, total",SP.POP.TOTL,Mexico,MEX,122251351
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,109075
"Population, total",SP.POP.TOTL,Moldova,MDA,2803186
"Population, total",SP.POP.TOTL,Monaco,MCO,37276
"Population, total",SP.POP.TOTL,Mongolia,MNG,3088856
"Population, total",SP.POP.TOTL,Montenegro,MNE,625353
"Population, total",SP.POP.TOTL,Morocco,MAR,35023457
"Population, total",SP.POP.TOTL,Mozambique,MOZ,27337105
"Population, total",SP.POP.TOTL,Myanmar,MMR,51495696
"Population, total",SP.POP.TOTL,Namibia,NAM,2439213
"Population, total",SP.POP.TOTL,Nauru,NRU,11150
"Population, total",SP.POP.TOTL,Nepal,NPL,27955462
